Colony,Nest,Date,Day
1,Circle,9/19/17,3
1,Circle,9/20/17,4
1,Circle,9/21/17,5
1,Circle,9/22/17,6
1,Circle,9/24/17,8
1,Circle,9/25/17,9
1,Circle,9/26/17,10
1,Circle,9/27/17,11
1,Circle,9/28/17,12
1,Circle,9/29/17,13
1,Tube,9/4/17,4
1,Tube,9/5/17,5
1,Tube,9/6/17,6
1,Tube,9/7/17,7
1,Tube,9/8/17,8
1,Tube,9/9/17,9
1,Tube,9/10/17,10
1,Tube,9/11/17,11
1,Tube,9/12/17,12
1,Tube,9/13/17,13
2,Circle,9/4/17,4
2,Circle,9/5/17,5
2,Circle,9/6/17,6
2,Circle,9/7/17,7
2,Circle,9/8/17,8
2,Circle,9/9/17,9
2,Circle,9/10/17,10
2,Circle,9/11/17,11
2,Circle,9/12/17,12
2,Circle,9/13/17,13
2,Tube,9/20/17,4
2,Tube,9/21/17,5
2,Tube,9/22/17,6
2,Tube,9/23/17,7
2,Tube,9/24/17,8
2,Tube,9/25/17,9
2,Tube,9/26/17,10
2,Tube,9/27/17,11
2,Tube,9/28/17,12
2,Tube,9/29/17,13
3,Circle,9/5/17,4
3,Circle,9/6/17,5
3,Circle,9/7/17,6
3,Circle,9/8/17,7
3,Circle,9/9/17,8
3,Circle,9/10/17,9
3,Circle,9/11/17,10
3,Circle,9/12/17,11
3,Circle,9/13/17,12
3,Circle,9/14/17,13
3,Tube,9/22/17,4
3,Tube,9/24/17,6
3,Tube,9/25/17,7
3,Tube,9/26/17,8
3,Tube,9/27/17,9
3,Tube,9/28/17,10
3,Tube,9/29/17,11
3,Tube,9/30/17,12
3,Tube,10/1/17,13
3,Tube,10/2/17,14
4,Circle,9/26/17,4
4,Circle,9/27/17,5
4,Circle,9/28/17,6
4,Circle,9/29/17,7
4,Circle,9/30/17,8
4,Circle,10/1/17,9
4,Circle,10/2/17,10
4,Circle,10/3/17,11
4,Circle,10/4/17,12
4,Circle,10/5/17,13
4,Tube,9/10/17,4
4,Tube,9/11/17,5
4,Tube,9/12/17,6
4,Tube,9/13/17,7
4,Tube,9/14/17,8
4,Tube,9/15/17,9
4,Tube,9/16/17,10
4,Tube,9/17/17,11
4,Tube,9/18/17,12
4,Tube,9/19/17,13
5,Circle,9/19/17,4
5,Circle,9/20/17,5
5,Circle,9/21/17,6
5,Circle,9/22/17,7
5,Circle,9/23/17,8
5,Circle,9/24/17,9
5,Circle,9/25/17,10
5,Circle,9/26/17,11
5,Circle,9/27/17,12
5,Circle,9/28/17,13
5,Tube,10/10/17,2
5,Tube,10/11/17,3
5,Tube,10/12/17,4
5,Tube,10/13/17,5
5,Tube,10/15/17,7
5,Tube,10/16/17,8
5,Tube,10/17/17,9
5,Tube,10/18/17,10
5,Tube,10/19/17,11
5,Tube,10/21/17,12
6,Circle,9/21/17,4
6,Circle,9/22/17,5
6,Circle,9/23/17,6
6,Circle,9/24/17,7
6,Circle,9/25/17,8
6,Circle,9/26/17,9
6,Circle,9/27/17,10
6,Circle,9/28/17,11
6,Circle,9/29/17,12
6,Circle,9/30/17,13
6,Tube,10/14/17,4
6,Tube,10/15/17,5
6,Tube,10/16/17,6
6,Tube,10/17/17,7
6,Tube,10/18/17,8
6,Tube,10/19/17,9
6,Tube,10/20/17,10
6,Tube,10/21/17,11
6,Tube,10/22/17,12
6,Tube,10/23/17,13
7,Circle,9/24/17,4
7,Circle,9/25/17,5
7,Circle,9/26/17,6
7,Circle,9/27/17,7
7,Circle,9/28/17,8
7,Circle,9/29/17,9
7,Circle,9/30/17,10
7,Circle,10/1/17,11
7,Circle,10/2/17,12
7,Circle,10/3/17,13
7,Tube,10/13/17,4
7,Tube,10/14/17,5
7,Tube,10/15/17,6
7,Tube,10/16/17,7
7,Tube,10/17/17,8
7,Tube,10/18/17,9
7,Tube,10/19/17,10
7,Tube,10/20/17,11
7,Tube,10/21/17,12
7,Tube,10/22/17,13
8,Circle,6/13/18,5
8,Circle,6/14/18,6
8,Circle,6/15/18,7
8,Circle,6/16/18,8
8,Circle,6/17/18,9
8,Circle,6/19/18,11
8,Circle,6/20/18,12
8,Circle,6/22/18,14
8,Circle,6/24/18,16
8,Circle,6/23/18,15
8,Circle,6/24/18,15
8,Tube,5/25/18,3
8,Tube,5/26/18,4
8,Tube,5/27/18,5
8,Tube,5/28/18,6
