"Colony","Day","Nest","Bin","PropBrood","Density","Corner"
1,4,"Tube",1,0,"High","Y"
1,4,"Tube",2,0.0148148148148148,"High","N"
1,4,"Tube",3,0.177777777777778,"High","Y"
1,4,"Tube",4,0.414814814814815,"High","Y"
1,4,"Tube",5,0.222222222222222,"High","N"
1,4,"Tube",6,0.17037037037037,"High","Y"
1,4,"Tube",7,0,"High","Y"
1,4,"Tube",8,0,"High","N"
1,8,"Tube",1,0,"High","Y"
1,8,"Tube",2,0.0238095238095238,"High","N"
1,8,"Tube",3,0.174603174603175,"High","Y"
1,8,"Tube",4,0.420634920634921,"High","Y"
1,8,"Tube",5,0.166666666666667,"High","N"
1,8,"Tube",6,0.206349206349206,"High","Y"
1,8,"Tube",7,0.00793650793650794,"High","Y"
1,8,"Tube",8,0,"High","N"
1,7,"Tube",1,0,"High","Y"
1,7,"Tube",2,0.032258064516129,"High","N"
1,7,"Tube",3,0.0806451612903226,"High","Y"
1,7,"Tube",4,0.42741935483871,"High","Y"
1,7,"Tube",5,0.201612903225806,"High","N"
1,7,"Tube",6,0.258064516129032,"High","Y"
1,7,"Tube",7,0,"High","Y"
1,7,"Tube",8,0,"High","N"
1,5,"Tube",1,0.00793650793650794,"High","Y"
1,5,"Tube",2,0.00793650793650794,"High","N"
1,5,"Tube",3,0.222222222222222,"High","Y"
1,5,"Tube",4,0.420634920634921,"High","Y"
1,5,"Tube",5,0.142857142857143,"High","N"
1,5,"Tube",6,0.198412698412698,"High","Y"
1,5,"Tube",7,0,"High","Y"
1,5,"Tube",8,0,"High","N"
1,9,"Tube",1,0,"High","Y"
1,9,"Tube",2,0.0078125,"High","N"
1,9,"Tube",3,0.171875,"High","Y"
1,9,"Tube",4,0.3984375,"High","Y"
1,9,"Tube",5,0.1640625,"High","N"
1,9,"Tube",6,0.2578125,"High","Y"
1,9,"Tube",7,0,"High","Y"
1,9,"Tube",8,0,"High","N"
1,6,"Tube",1,0,"High","Y"
1,6,"Tube",2,0.0142857142857143,"High","N"
1,6,"Tube",3,0.207142857142857,"High","Y"
1,6,"Tube",4,0.378571428571429,"High","Y"
1,6,"Tube",5,0.128571428571429,"High","N"
1,6,"Tube",6,0.271428571428571,"High","Y"
1,6,"Tube",7,0,"High","Y"
1,6,"Tube",8,0,"High","N"
1,13,"Tube",1,0,"High","Y"
1,13,"Tube",2,0.016260162601626,"High","N"
1,13,"Tube",3,0.0975609756097561,"High","Y"
1,13,"Tube",4,0.390243902439024,"High","Y"
1,13,"Tube",5,0.219512195121951,"High","N"
1,13,"Tube",6,0.24390243902439,"High","Y"
1,13,"Tube",7,0.032520325203252,"High","Y"
1,13,"Tube",8,0,"High","N"
1,11,"Tube",1,0,"High","Y"
