"Colony","Day","Nest","Bin","PropBrood","Density","Corner"
11,3,"Tube",1,0.0119047619047619,"Low","Y"
11,3,"Tube",2,0.130952380952381,"Low","N"
11,3,"Tube",3,0.110119047619048,"Low","Y"
11,3,"Tube",4,0.172619047619048,"Low","Y"
11,3,"Tube",5,0.157738095238095,"Low","N"
11,3,"Tube",6,0.145833333333333,"Low","Y"
11,3,"Tube",7,0.142857142857143,"Low","Y"
11,3,"Tube",8,0.12797619047619,"Low","N"
11,4,"Tube",1,0.00824175824175824,"Low","Y"
11,4,"Tube",2,0.145604395604396,"Low","N"
11,4,"Tube",3,0.131868131868132,"Low","Y"
11,4,"Tube",4,0.159340659340659,"Low","Y"
11,4,"Tube",5,0.148351648351648,"Low","N"
11,4,"Tube",6,0.153846153846154,"Low","Y"
11,4,"Tube",7,0.142857142857143,"Low","Y"
11,4,"Tube",8,0.10989010989011,"Low","N"
11,5,"Tube",1,0.0101781170483461,"Low","Y"
11,5,"Tube",2,0.139949109414758,"Low","N"
11,5,"Tube",3,0.114503816793893,"Low","Y"
11,5,"Tube",4,0.185750636132316,"Low","Y"
11,5,"Tube",5,0.145038167938931,"Low","N"
11,5,"Tube",6,0.170483460559796,"Low","Y"
11,5,"Tube",7,0.150127226463104,"Low","Y"
11,5,"Tube",8,0.083969465648855,"Low","N"
11,6,"Tube",1,0.00523560209424084,"Low","Y"
11,6,"Tube",2,0.151832460732984,"Low","N"
11,6,"Tube",3,0.128272251308901,"Low","Y"
11,6,"Tube",4,0.219895287958115,"Low","Y"
11,6,"Tube",5,0.149214659685864,"Low","N"
11,6,"Tube",6,0.149214659685864,"Low","Y"
11,6,"Tube",7,0.107329842931937,"Low","Y"
11,6,"Tube",8,0.0890052356020942,"Low","N"
11,7,"Tube",1,0.00258397932816537,"Low","Y"
11,7,"Tube",2,0.188630490956072,"Low","N"
11,7,"Tube",3,0.111111111111111,"Low","Y"
11,7,"Tube",4,0.183462532299742,"Low","Y"
11,7,"Tube",5,0.142118863049096,"Low","N"
11,7,"Tube",6,0.144702842377261,"Low","Y"
11,7,"Tube",7,0.142118863049096,"Low","Y"
11,7,"Tube",8,0.0852713178294574,"Low","N"
11,8,"Tube",1,0.00248138957816377,"Low","Y"
11,8,"Tube",2,0.181141439205955,"Low","N"
11,8,"Tube",3,0.114143920595533,"Low","Y"
11,8,"Tube",4,0.225806451612903,"Low","Y"
11,8,"Tube",5,0.124069478908189,"Low","N"
11,8,"Tube",6,0.146401985111663,"Low","Y"
11,8,"Tube",7,0.121588089330025,"Low","Y"
11,8,"Tube",8,0.0843672456575682,"Low","N"
11,9,"Tube",1,0.00700934579439252,"Low","Y"
11,9,"Tube",2,0.182242990654206,"Low","N"
11,9,"Tube",3,0.10981308411215,"Low","Y"
11,9,"Tube",4,0.186915887850467,"Low","Y"
11,9,"Tube",5,0.128504672897196,"Low","N"
11,9,"Tube",6,0.170560747663551,"Low","Y"
11,9,"Tube",7,0.135514018691589,"Low","Y"
11,9,"Tube",8,0.0794392523364486,"Low","N"
11,11,"Tube",1,0.0115207373271889,"Low","Y"
11,11,"Tube",2,0.168202764976959,"Low","N"
11,11,"Tube",3,0.119815668202765,"Low","Y"
11,11,"Tube",4,0.235023041474654,"Low","Y"
11,11,"Tube",5,0.112903225806452,"Low","N"
11,11,"Tube",6,0.145161290322581,"Low","Y"
11,11,"Tube",7,0.131336405529954,"Low","Y"
11,11,"Tube",8,0.076036866359447,"Low","N"
11,12,"Tube",1,0.0175438596491228,"Low","Y"
11,12,"Tube",2,0.166666666666667,"Low","N"
11,12,"Tube",3,0.12719298245614,"Low","Y"
11,12,"Tube",4,0.258771929824561,"Low","Y"
11,12,"Tube",5,0.118421052631579,"Low","N"
11,12,"Tube",6,0.118421052631579,"Low","Y"
11,12,"Tube",7,0.118421052631579,"Low","Y"
11,12,"Tube",8,0.0745614035087719,"Low","N"
11,13,"Tube",1,0.0154525386313466,"Low","Y"
11,13,"Tube",2,0.185430463576159,"Low","N"
11,13,"Tube",3,0.121412803532009,"Low","Y"
11,13,"Tube",4,0.245033112582781,"Low","Y"
11,13,"Tube",5,0.123620309050773,"Low","N"
11,13,"Tube",6,0.150110375275938,"Low","Y"
11,13,"Tube",7,0.0905077262693157,"Low","Y"
11,13,"Tube",8,0.0684326710816777,"Low","N"
11,3,"Circle",1,0.00746268656716418,"Low","Y"
11,3,"Circle",2,0.0261194029850746,"Low","N"
11,3,"Circle",3,0.082089552238806,"Low","N"
11,3,"Circle",4,0.16044776119403,"Low","N"
11,3,"Circle",5,0.194029850746269,"Low","N"
11,3,"Circle",6,0.194029850746269,"Low","N"
11,3,"Circle",7,0.186567164179104,"Low","N"
11,3,"Circle",8,0.149253731343284,"Low","N"
11,4,"Circle",1,0,"Low","Y"
11,4,"Circle",2,0.0127226463104326,"Low","N"
11,4,"Circle",3,0.0712468193384224,"Low","N"
11,4,"Circle",4,0.089058524173028,"Low","N"
11,4,"Circle",5,0.201017811704835,"Low","N"
11,4,"Circle",6,0.201017811704835,"Low","N"
11,4,"Circle",7,0.216284987277354,"Low","N"
11,4,"Circle",8,0.208651399491094,"Low","N"
11,5,"Circle",1,0,"Low","Y"
11,5,"Circle",2,0.00533333333333333,"Low","N"
11,5,"Circle",3,0.0933333333333333,"Low","N"
11,5,"Circle",4,0.109333333333333,"Low","N"
11,5,"Circle",5,0.205333333333333,"Low","N"
11,5,"Circle",6,0.197333333333333,"Low","N"
11,5,"Circle",7,0.189333333333333,"Low","N"
11,5,"Circle",8,0.2,"Low","N"
11,6,"Circle",1,0,"Low","Y"
11,6,"Circle",2,0.00804289544235925,"Low","N"
11,6,"Circle",3,0.0804289544235925,"Low","N"
11,6,"Circle",4,0.123324396782842,"Low","N"
11,6,"Circle",5,0.198391420911528,"Low","N"
11,6,"Circle",6,0.227882037533512,"Low","N"
11,6,"Circle",7,0.17426273458445,"Low","N"
11,6,"Circle",8,0.187667560321716,"Low","N"
11,8,"Circle",1,0,"Low","Y"
11,8,"Circle",2,0.00581395348837209,"Low","N"
11,8,"Circle",3,0.0465116279069767,"Low","N"
11,8,"Circle",4,0.133720930232558,"Low","N"
11,8,"Circle",5,0.197674418604651,"Low","N"
11,8,"Circle",6,0.218023255813953,"Low","N"
11,8,"Circle",7,0.200581395348837,"Low","N"
11,8,"Circle",8,0.197674418604651,"Low","N"
11,9,"Circle",1,0,"Low","Y"
11,9,"Circle",2,0,"Low","N"
11,9,"Circle",3,0.0316455696202532,"Low","N"
11,9,"Circle",4,0.129746835443038,"Low","N"
11,9,"Circle",5,0.167721518987342,"Low","N"
11,9,"Circle",6,0.259493670886076,"Low","N"
11,9,"Circle",7,0.167721518987342,"Low","N"
11,9,"Circle",8,0.243670886075949,"Low","N"
11,10,"Circle",1,0,"Low","Y"
11,10,"Circle",2,0.00689655172413793,"Low","N"
11,10,"Circle",3,0.0206896551724138,"Low","N"
11,10,"Circle",4,0.141379310344828,"Low","N"
11,10,"Circle",5,0.155172413793103,"Low","N"
11,10,"Circle",6,0.248275862068966,"Low","N"
11,10,"Circle",7,0.179310344827586,"Low","N"
11,10,"Circle",8,0.248275862068966,"Low","N"
11,11,"Circle",1,0,"Low","Y"
11,11,"Circle",2,0.00671140939597315,"Low","N"
11,11,"Circle",3,0.0134228187919463,"Low","N"
11,11,"Circle",4,0.0906040268456376,"Low","N"
11,11,"Circle",5,0.144295302013423,"Low","N"
11,11,"Circle",6,0.348993288590604,"Low","N"
11,11,"Circle",7,0.191275167785235,"Low","N"
11,11,"Circle",8,0.204697986577181,"Low","N"
11,12,"Circle",1,0,"Low","Y"
11,12,"Circle",2,0,"Low","N"
11,12,"Circle",3,0.0226537216828479,"Low","N"
11,12,"Circle",4,0.106796116504854,"Low","N"
11,12,"Circle",5,0.129449838187702,"Low","N"
11,12,"Circle",6,0.294498381877023,"Low","N"
11,12,"Circle",7,0.258899676375405,"Low","N"
11,12,"Circle",8,0.187702265372168,"Low","N"
11,13,"Circle",1,0,"Low","Y"
11,13,"Circle",2,0.00323624595469256,"Low","N"
11,13,"Circle",3,0.00970873786407767,"Low","N"
11,13,"Circle",4,0.0970873786407767,"Low","N"
11,13,"Circle",5,0.142394822006472,"Low","N"
11,13,"Circle",6,0.29126213592233,"Low","N"
11,13,"Circle",7,0.268608414239482,"Low","N"
11,13,"Circle",8,0.187702265372168,"Low","N"
12,3,"Tube",1,0.177083333333333,"Low","Y"
12,3,"Tube",2,0.15625,"Low","N"
12,3,"Tube",3,0.0833333333333333,"Low","Y"
12,3,"Tube",4,0.114583333333333,"Low","Y"
12,3,"Tube",5,0.15625,"Low","N"
12,3,"Tube",6,0.166666666666667,"Low","Y"
12,3,"Tube",7,0.0729166666666667,"Low","Y"
12,3,"Tube",8,0.0729166666666667,"Low","N"
