"","Colony","Nest","Day","ScaledX","ScaledY","Density","Corner","Bin","ToBrood","Sex","Ratio"
"1",11,"Tube",12,6.407945953,3.569987209,"Low","Y",7,0.32225067196362,"M",1
"2",11,"Tube",12,4.478563616,1.98297566,"Low","N",8,0.544464422001308,"M",1
"3",11,"Tube",13,6.06314519,3.72825766,"Low","Y",6,0.298078622203365,"M",1
"4",11,"Tube",13,6.537055516,3.294681334,"Low","Y",7,0.34201510846154,"M",1
"5",11,"Tube",13,5.884168026,1.751954027,"Low","N",8,0.456155542572124,"M",1
"6",11,"Tube",13,5.125408983,1.740610444,"Low","N",8,0.50357096042726,"M",1
"7",12,"Tube",3,3.700638337,1.371105592,"Low","Y",1,0.0315506415277276,"M",0.863636363636364
"8",12,"Tube",3,2.271891096,1.547706034,"Low","N",2,0.13876717126058,"M",0.863636363636364
"9",12,"Tube",3,2.132082414,1.676477189,"Low","N",2,0.153323663859439,"M",0.863636363636364
"10",12,"Tube",3,1.440397351,2.857492642,"Low","Y",3,0.283722465004013,"F",0.863636363636364
"11",12,"Tube",3,1.609639441,2.872209345,"Low","Y",3,0.281624766406259,"M",0.863636363636364
"12",12,"Tube",3,2.514716703,3.405689845,"Low","Y",4,0.264811186448376,"M",0.863636363636364
"13",12,"Tube",3,3.062301325,3.357247976,"Low","N",5,0.30830747624638,"F",0.863636363636364
"14",12,"Tube",3,3.460264901,3.379935614,"Low","N",5,0.342937502471712,"M",0.863636363636364
"15",12,"Tube",3,3.302060338,3.162864238,"Low","N",5,0.325898222878047,"M",0.863636363636364
"16",12,"Tube",3,3.519131714,3.218051876,"Low","N",5,0.345552359588869,"M",0.863636363636364
"17",12,"Tube",3,3.651582046,3.427764901,"Low","N",5,0.360384590853859,"M",0.863636363636364
"18",12,"Tube",3,3.732523915,3.44616078,"Low","N",5,0.367729561124336,"M",0.863636363636364
"19",12,"Tube",3,4.245768948,3.210080942,"Low","N",5,0.409413317799998,"M",0.863636363636364
"20",12,"Tube",3,4.078979029,3.462717071,"Low","N",5,0.398002305728061,"M",0.863636363636364
"21",12,"Tube",3,4.623497057,3.251777042,"Low","Y",6,0.443033473120488,"M",0.863636363636364
"22",12,"Tube",3,4.711797277,3.364606328,"Low","Y",6,0.451881304418912,"F",0.863636363636364
"23",12,"Tube",3,4.802551508,3.433283664,"Low","Y",6,0.460657438470904,"M",0.863636363636364
"24",12,"Tube",3,5.887293966,3.137110007,"Low","Y",6,0.554046374760084,"M",0.863636363636364
"25",12,"Tube",3,5.529188742,3.419179544,"Low","Y",6,0.524272059307354,"M",0.863636363636364
"26",12,"Tube",3,6.33124908,2.330143488,"Low","Y",7,0.737977043635031,"M",0.863636363636364
"27",12,"Tube",3,6.046725533,1.721854305,"Low","Y",7,0.779077709890438,"M",0.863636363636364
"28",12,"Tube",3,4.514348786,1.680156365,"Low","N",8,0.735649052309563,"M",0.863636363636364
"29",12,"Tube",3,4.470198675,1.794210817,"Low","N",8,0.738742739587575,"F",0.863636363636364
"30",12,"Tube",5,3.682142594,0.776836772,"Low","Y",1,0.0133931454943252,"M",0.793103448275862
"31",12,"Tube",5,3.662490789,1.378653279,"Low","Y",1,0.0401587964300874,"M",0.793103448275862
"32",12,"Tube",5,3.318594326,1.747113117,"Low","Y",1,0.080191495325649,"F",0.793103448275862
"33",12,"Tube",5,2.485261606,1.674649963,"Low","N",2,0.131184434283667,"M",0.793103448275862
"34",12,"Tube",5,2.278924097,1.549373618,"Low","N",2,0.145937186713095,"M",0.793103448275862
"35",12,"Tube",5,2.094694178,1.748341931,"Low","N",2,0.166018979462269,"M",0.793103448275862
"36",12,"Tube",5,2.005650332,1.556129329,"Low","N",2,0.169888377594089,"M",0.793103448275862
"37",12,"Tube",5,1.642102063,1.887743183,"Low","Y",3,0.208291726451348,"M",0.793103448275862
"38",12,"Tube",5,1.433308769,1.946696758,"Low","Y",3,0.227424595395514,"F",0.793103448275862
