"Colony","Nest","Day","ScaledX","ScaledY","Density","Corner","Bin","ToBrood"
1,"Tube",4,3.033165823,3.136587683,"High","Y",4,0.0709478943340898
1,"Tube",4,4.803849927,3.11697642,"High","Y",6,0.234361586461859
1,"Tube",4,6.317758089,3.156204295,"High","Y",6,0.374071226403823
1,"Tube",5,1.911347518,1.886524823,"High","Y",3,0.130933602229591
1,"Tube",5,2.773640071,3.129432624,"High","Y",4,0.0473583429289722
1,"Tube",5,6.238179078,3.144207447,"High","Y",6,0.367076952776512
1,"Tube",6,1.836222944,1.737012987,"High","Y",3,0.13913468028868
1,"Tube",6,3.165584416,3.102451299,"High","N",5,0.0890169762599462
1,"Tube",6,3.203463203,3.241341991,"High","N",5,0.0933162047622751
1,"Tube",7,1.719088937,1.971258134,"High","Y",3,0.123925451082554
1,"Tube",7,2.765726681,3.120932755,"High","Y",4,0.0473834036566889
1,"Tube",7,6.523861171,3.015184382,"High","Y",6,0.394300327364384
1,"Tube",8,1.770386266,1.929542203,"High","Y",3,0.127393839845534
1,"Tube",8,1.824034335,2.630543634,"High","Y",3,0.0636794015918972
1,"Tube",8,4.707916667,3.22663269,"High","Y",6,0.226336209044365
1,"Tube",9,1.827372698,1.746115926,"High","Y",3,0.142641140078723
1,"Tube",9,1.802096425,2.063921993,"High","Y",3,0.113941994754339
1,"Tube",9,5.400866739,3.286386782,"High","Y",6,0.292331608340703
1,"Tube",10,1.931818182,2.408008658,"High","Y",3,0.0871933564654837
1,"Tube",10,2.015692641,3.135822511,"High","Y",4,0.0267153001775494
1,"Tube",10,5.681818182,3.295454545,"High","Y",6,0.311950334844743
1,"Tube",11,2.25188781,3.133764833,"High","Y",4,0.0138074783210998
1,"Tube",11,2.745415318,3.19579288,"High","Y",4,0.0596933212922407
1,"Tube",11,3.70819849,3.0798274,"High","N",5,0.147993903779293
1,"Tube",12,2.46482684,3.043831169,"High","Y",4,0.0361160652659542
1,"Tube",12,3.80952381,3.130411255,"High","N",5,0.159721693188212
1,"Tube",12,5.12987013,3.100649351,"High","Y",6,0.281558458354621
