"","Colony","Nest","Day","ScaledX","ScaledY","Density","Corner","Bin","ToBrood"
"1",11,"Tube",3,2.135278915,3.7372611,"Low","Y",4,0.00781753101488891
"2",11,"Tube",3,2.529665988,4.080692576,"Low","Y",4,0.0357426854246397
"3",11,"Tube",3,6.102190967,3.961329197,"Low","Y",6,0.291734409421489
"4",11,"Tube",3,6.654334545,2.870306035,"Low","Y",7,0.362572113977592
"5",11,"Tube",3,6.352784957,2.722322669,"Low","Y",7,0.365352811307038
"6",11,"Tube",4,2.314642175,4.041557514,"Low","Y",4,0.0176730020730371
"7",11,"Tube",4,2.280342047,3.6167548,"Low","Y",4,0.019191247968695
"8",11,"Tube",4,3.436014718,4.060026509,"Low","N",5,0.0940396084908078
"9",11,"Tube",4,6.199206306,4.063984292,"Low","Y",6,0.294689407786042
"10",11,"Tube",4,6.618072346,2.356200876,"Low","Y",7,0.391538931265401
"11",11,"Tube",5,1.060561491,2.591203664,"Low","Y",3,0.140134981049859
"12",11,"Tube",5,4.116077272,4.098053483,"Low","N",5,0.142755255669472
"13",11,"Tube",5,4.375630227,4.07642407,"Low","N",5,0.161438696134584
"14",11,"Tube",5,6.779378258,3.408795471,"Low","Y",7,0.339153202278487
"15",11,"Tube",5,6.538571516,1.686373946,"Low","Y",7,0.437439829653665
"16",11,"Tube",7,1.520217729,1.718506998,"Low","N",2,0.0434357538797103
"17",11,"Tube",7,2.134525661,3.824519829,"Low","Y",4,0.112548478219465
"18",11,"Tube",7,2.354846423,4.070762053,"Low","Y",4,0.133816921794982
"19",11,"Tube",7,5.772420295,4.039657854,"Low","Y",6,0.377268683448547
"20",11,"Tube",7,6.443753888,2.22524689,"Low","Y",7,0.624658995307675
"21",11,"Tube",8,1.607279693,1.810344828,"Low","N",2,0.0907857319907202
"22",11,"Tube",8,2.007024904,4.021710728,"Low","Y",4,0.0151533732611998
"23",11,"Tube",8,2.346743295,4.026819923,"Low","Y",4,0.0200053125248611
"24",11,"Tube",8,5.88697318,4.007662835,"Low","Y",6,0.273995790046094
"25",11,"Tube",8,6.371009579,2.617496169,"Low","Y",7,0.371049828073326
"26",11,"Tube",9,1.665396341,1.783536585,"Low","N",2,0.0873210510965496
"27",11,"Tube",9,1.359247332,4.098704268,"Low","Y",4,0.0513304994360662
"28",11,"Tube",9,2.18622904,4.020579268,"Low","Y",4,0.0167440369811618
"29",11,"Tube",9,5.866996951,4.04535061,"Low","Y",6,0.280697133803662
"30",11,"Tube",9,6.444359756,2.425685976,"Low","Y",7,0.393807974539707
