"Colony","Nest","Day","ScaledX","ScaledY","Density","Corner","Bin","ToBrood"
1,"Tube",4,1.922256804,2.394794082,"High","Y",3,0.0842267583289535
1,"Tube",4,3.061700049,1.590582528,"High","N",2,0.136552301400279
1,"Tube",4,2.15049852,3.302422146,"High","Y",4,0.0186487922682375
1,"Tube",4,6.317758089,2.382308352,"High","Y",7,0.415823388997404
1,"Tube",4,4.265337281,3.175820907,"High","N",5,0.184696248108494
1,"Tube",4,1.947217565,1.515689545,"High","Y",3,0.16522725471905
1,"Tube",4,1.756422341,2.621254415,"High","Y",3,0.0686181769717491
1,"Tube",4,4.548860717,3.218616898,"High","N",5,0.210963227454177
1,"Tube",4,1.777820336,2.902996468,"High","Y",4,0.0497643650177076
1,"Tube",4,2.113052028,1.422966682,"High","N",2,0.0755363113992742
1,"Tube",4,4.689729069,3.272111886,"High","Y",6,0.224178574252301
1,"Tube",4,5.900497182,1.825960476,"High","N",8,0.492116231627125
1,"Tube",4,3.168690025,3.04386482,"High","N",5,0.0838818985917061
1,"Tube",4,4.354492028,3.270325153,"High","N",5,0.193287349182807
1,"Tube",4,5.501071505,1.800999714,"High","N",8,0.529031221379943
1,"Tube",4,1.756422341,1.690441623,"High","Y",3,0.150637501734022
1,"Tube",4,3.202568401,1.652995131,"High","N",2,0.148222763202444
1,"Tube",4,5.797075322,1.752854225,"High","N",8,0.502790354544541
1,"Tube",4,6.023535655,1.656563247,"High","Y",7,0.482066623448959
1,"Tube",4,5.183664342,3.305990262,"High","Y",6,0.269865644868181
1,"Tube",4,3.333631122,1.575427398,"High","N",2,0.161380689771084
1,"Tube",4,4.725394178,3.072393697,"High","Y",6,0.227189696256877
1,"Tube",4,3.360378616,1.717189117,"High","N",2,0.161964712722357
1,"Tube",4,1.845577088,2.280667874,"High","Y",3,0.0955579871804219
1,"Tube",4,5.347717422,3.147286681,"High","Y",6,0.284548244279489
1,"Tube",4,3.445077231,3.108058806,"High","N",5,0.108990449883794
1,"Tube",4,1.936518568,2.633734795,"High","Y",3,0.0621400079270124
1,"Tube",4,5.711483341,1.62802902,"High","N",8,0.514306572206766
1,"Tube",4,3.125894035,3.245364392,"High","N",5,0.0801492734374416
1,"Tube",4,6.644077516,3.141937182,"High","Y",6,0.404181158901518
1,"Tube",4,6.504990547,2.80670549,"High","Y",7,0.394649913607461
1,"Tube",4,6.422966682,1.546005155,"High","Y",7,0.493395493753518
1,"Tube",4,4.079886205,3.316689259,"High","N",5,0.168376835492623
1,"Tube",4,3.106277423,1.431884297,"High","N",2,0.144713606019625
1,"Tube",4,6.176889737,3.328725632,"High","Y",6,0.361506430050151
1,"Tube",4,1.82239771,1.920470071,"High","Y",3,0.128740301413839
1,"Tube",4,1.840227589,3.293509881,"High","Y",4,0.0417708376244568
1,"Tube",4,2.177246014,1.556704152,"High","N",2,0.0665963678430231
1,"Tube",4,6.578102148,2.590938805,"High","Y",7,0.41140254663447
1,"Tube",4,6.041370884,3.295291264,"High","Y",6,0.348871801704704
1,"Tube",4,2.671186637,3.102709307,"High","Y",4,0.0376642360026226
1,"Tube",4,1.883007531,1.424748065,"High","Y",3,0.173803963773198
1,"Tube",4,3.962197232,3.108058806,"High","N",5,0.15670390540765
1,"Tube",4,5.675818233,3.229315895,"High","Y",6,0.314943995464764
1,"Tube",4,1.891941194,1.412267685,"High","Y",3,0.174913933482914
1,"Tube",4,6.346736324,3.33674988,"High","Y",6,0.377198166574434
1,"Tube",4,6.617330022,2.268187494,"High","Y",7,0.436693564148816
1,"Tube",4,6.307059092,2.512483055,"High","Y",7,0.403964514793451
1,"Tube",4,1.90798969,1.692223006,"High","Y",3,0.149037880088463
1,"Tube",4,6.465762673,2.813836372,"High","Y",7,0.391091541444683
1,"Tube",4,6.130525631,3.22574778,"High","Y",6,0.35688482084842
1,"Tube",4,1.70114062,1.551354654,"High","Y",3,0.164161025099356
1,"Tube",4,2.483954178,3.033165823,"High","Y",4,0.0223558891954061
1,"Tube",4,3.257844773,3.218616898,"High","N",5,0.0920027296569604
1,"Tube",4,1.702927353,3.163335177,"High","Y",4,0.0518769061452626
1,"Tube",4,1.959703295,1.868756466,"High","Y",3,0.132637101584287
1,"Tube",4,2.095222149,1.652995131,"High","Y",3,0.153168527089614
1,"Tube",4,2.280673224,1.572752649,"High","N",2,0.0715896511253938
1,"Tube",4,2.289585489,1.751067492,"High","N",2,0.0638570802373593
1,"Tube",4,2.300284486,3.206131168,"High","Y",4,0.0073133971634521
1,"Tube",4,2.803137374,3.277461385,"High","Y",4,0.0514170372563076
1,"Tube",4,2.831671601,1.453282292,"High","N",2,0.120527599106951
1,"Tube",4,3.272111886,1.500534415,"High","N",2,0.157408693053311
1,"Tube",4,3.814192648,3.070612314,"High","N",5,0.143150109592578
1,"Tube",4,3.953279617,3.075961813,"High","N",5,0.155957271890831
1,"Tube",4,4.49001623,3.323820141,"High","N",5,0.206127282838321
1,"Tube",4,5.397644295,1.745717994,"High","N",8,0.539090602190117
