"Colony","Nest","Density","AntID","SFZ","Occur","SFZ_Area","Occur_Area","MeanToBrood"
1,"Tube","High","G,G,G,P",1,6,0.216817,1.300902,0.162785525024181
1,"Tube","High","G,Lb,W,Y",0,7,0,1.517719,0.28822208282052
1,"Tube","High","G,P,G,G",1,6,0.216817,1.300902,0.145992613701202
1,"Tube","High","G,W,Lb,Lb",2,4,0.433634,0.867268,0.149688038414352
1,"Tube","High","G,W,W,P",3,4,0.650451,0.867268,0.0343263227077895
1,"Tube","High","W,Lb,Db,B",1,5,0.216817,1.084085,0.41199296143174
1,"Tube","High","W,O,O,W",1,6,0.216817,1.300902,0.176903241549766
1,"Tube","High","W,P,O,Y",2,6,0.433634,1.300902,0.215140161788988
1,"Tube","High","W,Y,O,Db",1,6,0.216817,1.300902,0.169754565630509
1,"Tube","High","W,Y,Y,W",2,7,0.433634,1.517719,0.21798175297009
1,"Tube","High","Y,B,O,Y",2,5,0.433634,1.084085,0.279205834067903
1,"Tube","High","Y,Db,P,O",0,7,0,1.517719,0.217381611594282
1,"Tube","High","Y,Lb,G,W",1,6,0.216817,1.300902,0.143231437621039
1,"Tube","High","Y,O,G,G",3,5,0.650451,1.084085,0.0856841418455348
1,"Tube","High","Y,O,P,P",0,7,0,1.517719,0.232909234021524
1,"Tube","High","Y,P,P,B",1,3,0.216817,0.650451,0.232335903174951
1,"Tube","High","Y,P,W,O",2,5,0.433634,1.084085,0.343821365863728
1,"Tube","High","Y,Y,Lb,O",0,8,0,1.734536,0.147855896487876
1,"Tube","High","Y,W,Db,Lb",2,7,0.433634,1.517719,0.205705777382219
2,"Tube","High","W,Db,Lb,Y",2,5,0.129814,0.324535,0.541479146540322
2,"Tube","High","W,P,W,P",1,6,0.064907,0.389442,0.159640968306506
2,"Tube","High","W,Y,G,B",1,6,0.064907,0.389442,0.38541181483979
2,"Tube","High","W,Y,Y,W",2,6,0.129814,0.389442,0.0848197165034843
2,"Tube","High","W,B,O,G",2,5,0.129814,0.324535,0.263744425930663
2,"Tube","High","W,P,Lb,Lb",1,6,0.064907,0.389442,0.182018821593126
3,"Tube","High","G,W,Db,G",1,4,0.2762,1.1048,0.069657020893494
3,"Tube","High","Lb,Y,W,P",2,4,0.5524,1.1048,0.532151817431042
4,"Tube","High","Db,Db,O,Lb",2,7,0.273438,0.957033,0.328458893102615
4,"Tube","High","Db,G,O,Y",2,5,0.273438,0.683595,0.150067092904602
4,"Tube","High","Db,Lb,G,O",3,4,0.410157,0.546876,0.101458139220473
4,"Tube","High","Db,O,Db,O",1,4,0.136719,0.546876,0.18473535481988
4,"Tube","High","Db,O,O,Db",3,6,0.410157,0.820314,0.0678017780203327
