"AntIDColNest","Colony","Nest","Day","ScaledX","ScaledY","Density","ToBrood","AntID","SFZ","Occur","SFZ_Area","Occur_Area"
"1_G,G,G,P_Tube",1,"Tube",4,3.061700049,1.590582528,"High",0.136552301400279,"G,G,G,P",1,6,0.216817,1.300902
"1_G,Lb,W,Y_Tube",1,"Tube",4,6.317758089,2.382308352,"High",0.415823388997404,"G,Lb,W,Y",0,7,0,1.517719
"1_G,P,G,G_Tube",1,"Tube",4,1.756422341,2.621254415,"High",0.0686181769717491,"G,P,G,G",1,6,0.216817,1.300902
"1_G,W,Lb,Lb_Tube",1,"Tube",4,4.548860717,3.218616898,"High",0.210963227454177,"G,W,Lb,Lb",2,4,0.433634,0.867268
"1_G,W,W,P_Tube",1,"Tube",4,1.777820336,2.902996468,"High",0.0497643650177076,"G,W,W,P",3,4,0.650451,0.867268
"1_W,Lb,Db,B_Tube",1,"Tube",4,5.797075322,1.752854225,"High",0.502790354544541,"W,Lb,Db,B",1,5,0.216817,1.084085
"1_W,O,O,W_Tube",1,"Tube",4,5.183664342,3.305990262,"High",0.269865644868181,"W,O,O,W",1,6,0.216817,1.300902
"1_W,P,O,Y_Tube",1,"Tube",4,4.725394178,3.072393697,"High",0.227189696256877,"W,P,O,Y",2,6,0.433634,1.300902
"1_W,Y,O,Db_Tube",1,"Tube",4,6.504990547,2.80670549,"High",0.394649913607461,"W,Y,O,Db",1,6,0.216817,1.300902
"1_W,Y,Y,W_Tube",1,"Tube",4,4.079886205,3.316689259,"High",0.168376835492623,"W,Y,Y,W",2,7,0.433634,1.517719
"1_Y,B,O,Y_Tube",1,"Tube",4,3.817760764,3.245364392,"High",0.143712330290844,"Y,B,O,Y",2,5,0.433634,1.084085
"1_Y,Db,P,O_Tube",1,"Tube",4,5.451139283,3.222179664,"High",0.294199248829957,"Y,Db,P,O",0,7,0,1.517719
"1_Y,Lb,G,W_Tube",1,"Tube",4,2.753210502,3.170471409,"High",0.0452275397373458,"Y,Lb,G,W",1,6,0.216817,1.300902
"1_Y,O,G,G_Tube",1,"Tube",4,1.893722577,2.765690882,"High",0.0509950421145834,"Y,O,G,G",3,5,0.650451,1.084085
"1_Y,O,P,P_Tube",1,"Tube",4,3.311339761,3.04386482,"High",0.0969883546620509,"Y,O,P,P",0,7,0,1.517719
"1_Y,P,P,B_Tube",1,"Tube",4,4.49001623,3.090228926,"High",0.205435685374426,"Y,P,P,B",1,3,0.216817,0.650451
"1_Y,P,W,O_Tube",1,"Tube",4,6.398000571,2.619473032,"High",0.39848110982327,"Y,P,W,O",2,5,0.433634,1.084085
"1_Y,Y,Lb,O_Tube",1,"Tube",4,4.103065584,3.154422912,"High",0.169692494517295,"Y,Y,Lb,O",0,8,0,1.734536
"1_G,G,G,P_Tube",1,"Tube",5,4.016547872,3.267140071,"High",0.162490423572299,"G,G,G,P",1,6,0.216817,1.300902
"1_G,Lb,W,Y_Tube",1,"Tube",5,5.864657801,3.139480496,"High",0.332606140300659,"G,Lb,W,Y",0,7,0,1.517719
"1_G,P,G,G_Tube",1,"Tube",5,1.875886525,3.044326241,"High",0.036536757781999,"G,P,G,G",1,6,0.216817,1.300902
"1_G,W,Lb,Lb_Tube",1,"Tube",5,4.359338652,3.154845745,"High",0.193693953063359,"G,W,Lb,Lb",2,4,0.433634,0.867268
"1_G,W,W,P_Tube",1,"Tube",5,2.322695035,3.279551418,"High",0.0142602080287675,"G,W,W,P",3,4,0.650451,0.867268
"1_W,Lb,Db,B_Tube",1,"Tube",5,6.205673759,1.582742908,"High",0.488433704639469,"W,Lb,Db,B",1,5,0.216817,1.084085
"1_W,O,O,W_Tube",1,"Tube",5,2.764184397,1.712765957,"High",0.107225372283157,"W,O,O,W",1,6,0.216817,1.300902
"1_W,P,O,Y_Tube",1,"Tube",5,3.774822695,3.095744681,"High",0.139800336403681,"W,P,O,Y",2,6,0.433634,1.300902
"1_W,Y,O,Db_Tube",1,"Tube",5,2.485815603,1.671985816,"High",0.0831586991143098,"W,Y,O,Db",1,6,0.216817,1.300902
"1_W,Y,Y,W_Tube",1,"Tube",5,5.673758865,1.705673759,"High",0.515295742956636,"W,Y,Y,W",2,7,0.433634,1.517719
"1_Y,Db,P,O_Tube",1,"Tube",5,4.22931383,3.088652482,"High",0.181745686851016,"Y,Db,P,O",0,7,0,1.517719
"1_Y,Lb,G,W_Tube",1,"Tube",5,5.923758865,3.283687943,"High",0.338327208024751,"Y,Lb,G,W",1,6,0.216817,1.300902
"1_Y,O,G,G_Tube",1,"Tube",5,1.90070922,2.199764184,"High",0.102147389022016,"Y,O,G,G",3,5,0.650451,1.084085
"1_Y,O,P,P_Tube",1,"Tube",5,5.387707447,3.329787234,"High",0.289132536046879,"Y,O,P,P",0,7,0,1.517719
"1_Y,P,P,B_Tube",1,"Tube",5,4.539007092,3.29787234,"High",0.210784928659719,"Y,P,P,B",1,3,0.216817,0.650451
"1_Y,P,W,O_Tube",1,"Tube",5,6.464539007,3.333333333,"High",0.388384352522809,"Y,P,W,O",2,5,0.433634,1.084085
"1_Y,W,Db,Lb_Tube",1,"Tube",5,6.381796099,2.212175532,"High",0.432873595586031,"Y,W,Db,Lb",2,7,0.433634,1.517719
"1_Y,Y,Lb,O_Tube",1,"Tube",5,1.973994681,2.35106383,"High",0.0879588643062309,"Y,Y,Lb,O",0,8,0,1.734536
"1_G,G,G,P_Tube",1,"Tube",6,4.787159091,3.059161255,"High",0.238705951383279,"G,G,G,P",1,6,0.216817,1.300902
"1_G,Lb,W,Y_Tube",1,"Tube",6,5.191201299,1.715367965,"High",0.564083533339269,"G,Lb,W,Y",0,7,0,1.517719
"1_G,P,G,G_Tube",1,"Tube",6,2.141055195,3.055557359,"High",0.00739831217841321,"G,P,G,G",1,6,0.216817,1.300902
"1_G,W,W,P_Tube",1,"Tube",6,3.026699134,3.228717532,"High",0.0769978834158301,"G,W,W,P",3,4,0.650451,0.867268
"1_W,Lb,Db,B_Tube",1,"Tube",6,6.394301948,2.467532468,"High",0.416390460753155,"W,Lb,Db,B",1,5,0.216817,1.084085
"1_W,P,O,Y_Tube",1,"Tube",6,2.963566017,1.661255411,"High",0.120082642418346,"W,P,O,Y",2,6,0.433634,1.300902
"1_W,Y,O,Db_Tube",1,"Tube",6,3.425324675,1.783912338,"High",0.161284054893546,"W,Y,O,Db",1,6,0.216817,1.300902
"1_W,Y,Y,W_Tube",1,"Tube",6,3.376623377,3.069983766,"High",0.108549820054841,"W,Y,Y,W",2,7,0.433634,1.517719
"1_Y,Db,P,O_Tube",1,"Tube",6,2.846320346,3.039323593,"High",0.0598956433922285,"Y,Db,P,O",0,7,0,1.517719
"1_Y,Lb,G,W_Tube",1,"Tube",6,3.964648268,3.21969697,"High",0.163078277224727,"Y,Lb,G,W",1,6,0.216817,1.300902
"1_Y,O,G,G_Tube",1,"Tube",6,1.960681818,2.031022727,"High",0.111396428694366,"Y,O,G,G",3,5,0.650451,1.084085
"1_Y,O,P,P_Tube",1,"Tube",6,5.084778139,3.300865801,"High",0.266717607833744,"Y,O,P,P",0,7,0,1.517719
"1_Y,P,P,B_Tube",1,"Tube",6,6.125541126,3.216087662,"High",0.362309989554258,"Y,P,P,B",1,3,0.216817,0.650451
"1_Y,P,W,O_Tube",1,"Tube",6,6.589107143,2.658728355,"High",0.413995086467831,"Y,P,W,O",2,5,0.433634,1.084085
"1_Y,W,Db,Lb_Tube",1,"Tube",6,5.928933983,1.829004329,"High",0.495213690717582,"Y,W,Db,Lb",2,7,0.433634,1.517719
"1_Y,Y,Lb,O_Tube",1,"Tube",6,3.106964286,1.574675325,"High",0.134689546722101,"Y,Y,Lb,O",0,8,0,1.734536
"1_G,G,G,P_Tube",1,"Tube",7,3.07483731,3.204989154,"High",0.0763775480596533,"G,G,G,P",1,6,0.216817,1.300902
"1_G,Lb,W,Y_Tube",1,"Tube",7,3.286334056,3.215835141,"High",0.0958929928026811,"G,Lb,W,Y",0,7,0,1.517719
"1_G,W,Lb,Lb_Tube",1,"Tube",7,4.19197397,3.085683297,"High",0.179016607661117,"G,W,Lb,Lb",2,4,0.433634,0.867268
"1_G,W,W,P_Tube",1,"Tube",7,2.413232104,3.142624729,"High",0.0150978879228321,"G,W,W,P",3,4,0.650451,0.867268
"1_W,Lb,Db,B_Tube",1,"Tube",7,6.610629067,1.922451193,"High",0.465770091973219,"W,Lb,Db,B",1,5,0.216817,1.084085
"1_W,O,O,W_Tube",1,"Tube",7,2.913953362,1.672087852,"High",0.119665742726174,"W,O,O,W",1,6,0.216817,1.300902
"1_W,P,O,Y_Tube",1,"Tube",7,3.893709328,3.034164859,"High",0.151648026951201,"W,P,O,Y",2,6,0.433634,1.300902
"1_W,Y,O,Db_Tube",1,"Tube",7,2.087852495,1.643167028,"High",0.15200558774752,"W,Y,O,Db",1,6,0.216817,1.300902
"1_W,Y,Y,W_Tube",1,"Tube",7,4.853579176,3.036876356,"High",0.240157802520717,"W,Y,Y,W",2,7,0.433634,1.517719
"1_Y,B,O,Y_Tube",1,"Tube",7,1.922451193,1.998373102,"High",0.118754763211139,"Y,B,O,Y",2,5,0.433634,1.084085
"1_Y,Lb,G,W_Tube",1,"Tube",7,2.429501085,2.985357918,"High",0.0201489287027907,"Y,Lb,G,W",1,6,0.216817,1.300902
"1_Y,O,G,G_Tube",1,"Tube",7,1.914316703,2.678958785,"High",0.0562595910323414,"Y,O,G,G",3,5,0.650451,1.084085
"1_Y,O,P,P_Tube",1,"Tube",7,2.334598698,3.294468547,"High",0.0183896706417189,"Y,O,P,P",0,7,0,1.517719
