"Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","Corner"
1,"Tube",4,3.119614021,1.519561635,2,0.164509541766425,"High","N"
1,"Tube",8,2.952432046,1.548640916,2,0.179944286213182,"High","N"
1,"Tube",7,3.157531088,1.582485332,2,0.163914379489714,"High","N"
1,"Tube",8,2.944086195,1.587982833,2,0.181895276389302,"High","N"
1,"Tube",7,3.209407293,1.591429505,2,0.160361038910719,"High","N"
1,"Tube",4,3.312542116,1.606614233,2,0.154191061853481,"High","N"
1,"Tube",8,1.708690987,1.630901288,3,0.29378561278741,"High","Y"
1,"Tube",7,3.075842165,1.634957219,2,0.172870230931008,"High","N"
1,"Tube",9,2.621744086,1.645637715,2,0.211737486216789,"High","N"
1,"Tube",6,2.289883508,1.645773208,2,0.241309151974653,"High","N"
1,"Tube",5,2.281324468,1.668439716,2,0.242564583301742,"High","N"
1,"Tube",7,3.054971831,1.668945077,2,0.176168205634608,"High","N"
1,"Tube",4,1.881458312,1.683079282,3,0.278892058405773,"High","Y"
1,"Tube",8,2.942895207,1.684549356,2,0.185784874757568,"High","N"
1,"Tube",13,2.629313916,1.697990103,2,0.212654208447901,"High","N"
1,"Tube",8,1.848175966,1.709585122,3,0.282388136114962,"High","Y"
1,"Tube",13,2.221459614,1.71230078,2,0.248927543810918,"High","N"
1,"Tube",4,1.965571101,1.72072508,3,0.272027203738307,"High","Y"
1,"Tube",8,1.692596567,1.722997139,3,0.296704628555186,"High","Y"
1,"Tube",5,1.804964539,1.728723404,3,0.286655040051267,"High","Y"
1,"Tube",5,1.915780142,1.745567376,3,0.277025216118703,"High","Y"
1,"Tube",8,1.749821173,1.756080114,3,0.292165928194949,"High","Y"
1,"Tube",5,1.770390071,1.756205674,3,0.290316337573973,"High","Y"
1,"Tube",4,1.899104229,1.759546095,3,0.278824862587691,"High","Y"
1,"Tube",4,1.949102168,1.759546095,3,0.274347972410362,"High","Y"
1,"Tube",4,1.802641063,1.76483987,3,0.287594861978592,"High","Y"
1,"Tube",6,1.76064206,1.768043155,3,0.291436668839503,"High","Y"
1,"Tube",6,3.198429533,1.776967968,2,0.173002985089365,"High","N"
1,"Tube",5,1.796099291,1.788120567,3,0.288685542456396,"High","Y"
1,"Tube",6,1.78027665,1.790355189,3,0.290152582942365,"High","Y"
1,"Tube",4,1.779111999,1.796602519,3,0.290395788294422,"High","Y"
1,"Tube",4,1.813816222,1.797190128,3,0.287303918049648,"High","Y"
1,"Tube",5,1.770390071,1.805851064,3,0.29138480574014,"High","Y"
1,"Tube",5,1.975177305,1.820921986,3,0.273529604530062,"High","Y"
1,"Tube",6,1.810621017,1.823376999,3,0.288203042444422,"High","Y"
1,"Tube",4,1.761466082,1.827775795,3,0.292690127858454,"High","Y"
1,"Tube",8,1.621065808,1.836552217,3,0.305439768189385,"High","Y"
1,"Tube",4,1.787347348,1.836598753,3,0.290595812875399,"High","Y"
1,"Tube",6,1.795448834,1.843011589,3,0.293708432863108,"High","Y"
1,"Tube",11,1.863697486,1.846064815,3,0.287420293653182,"High","Y"
1,"Tube",11,1.730258525,1.853181559,3,0.299751960453837,"High","Y"
1,"Tube",4,1.840285096,1.904830217,3,0.290757370901582,"High","Y"
1,"Tube",8,1.628218884,1.90897711,3,0.309727818880603,"High","Y"
1,"Tube",9,1.865886827,1.924393584,3,0.289500376779064,"High","Y"
1,"Tube",5,1.792553191,1.935283688,3,0.295922945639979,"High","Y"
1,"Tube",5,1.82358156,1.942375887,3,0.29369409325108,"High","Y"
1,"Tube",9,1.948977519,1.943155998,3,0.285641779511378,"High","Y"
1,"Tube",6,1.770459355,1.951001834,3,0.298388615007281,"High","Y"
1,"Tube",6,1.787416501,1.953679278,3,0.297111921358701,"High","Y"
1,"Tube",9,1.892690276,2.001230137,3,0.292853018373943,"High","Y"
1,"Tube",11,1.752498352,2.080917386,3,0.306796150551337,"High","Y"
1,"Tube",11,1.854801555,2.092482096,3,0.301877053810675,"High","Y"
1,"Tube",9,2.009732003,2.101296346,3,0.299322731434553,"High","Y"
1,"Tube",13,1.885158698,2.105844405,3,0.301759725913257,"High","Y"
1,"Tube",10,1.867728626,2.117022156,3,0.303352292768363,"High","Y"
1,"Tube",10,1.979288796,2.117914637,3,0.300869963008332,"High","Y"
1,"Tube",7,1.760749955,2.132253254,3,0.309805813433423,"High","Y"
1,"Tube",5,1.781028369,2.137411348,3,0.309047978651302,"High","Y"
1,"Tube",6,1.740114989,2.141992845,3,0.311712021798484,"High","Y"
1,"Tube",9,1.887329586,2.14686221,3,0.305220719698643,"High","Y"
1,"Tube",9,1.945403726,2.152222899,3,0.304366348234455,"High","Y"
1,"Tube",6,1.782954095,2.155380066,3,0.310305063442049,"High","Y"
1,"Tube",12,1.838380081,2.172111742,3,0.309105333756253,"High","Y"
1,"Tube",13,1.801977886,2.17471454,3,0.310884333877908,"High","Y"
1,"Tube",6,1.74725484,2.188401876,3,0.314688109635971,"High","Y"
1,"Tube",9,1.882862345,2.201362556,3,0.310122841307914,"High","Y"
1,"Tube",8,1.925965665,2.209406295,3,0.309875099096714,"High","Y"
1,"Tube",7,1.989720791,2.220800569,3,0.31032299588968,"High","Y"
1,"Tube",9,1.993649934,2.223698763,3,0.31058628909714,"High","Y"
1,"Tube",6,1.97037518,2.22410113,3,0.310701890097377,"High","Y"
1,"Tube",9,1.787263377,2.229059453,3,0.315925910781626,"High","Y"
1,"Tube",6,1.943006347,2.236595869,3,0.312101909325592,"High","Y"
1,"Tube",5,1.791666667,2.237588652,3,0.316433631749728,"High","Y"
1,"Tube",5,1.835992908,2.237588652,3,0.314730401410962,"High","Y"
1,"Tube",8,1.731044349,2.244277539,3,0.319788932628086,"High","Y"
1,"Tube",10,1.924847433,2.244646991,3,0.313092838807085,"High","Y"
1,"Tube",13,6.348301172,2.245373509,7,0.852440453948965,"High","Y"
1,"Tube",7,1.7992099,2.248527507,3,0.317026925192341,"High","Y"
1,"Tube",4,1.79911188,2.253631749,3,0.317455624949791,"High","Y"
1,"Tube",6,1.78027665,2.256230459,3,0.318444513292991,"High","Y"
1,"Tube",9,1.818534068,2.263010488,3,0.317513035350437,"High","Y"
1,"Tube",10,1.85077148,2.271421432,3,0.317187481232043,"High","Y"
1,"Tube",6,1.736545064,2.279434975,3,0.322275235071191,"High","Y"
1,"Tube",5,1.772163121,2.284574468,3,0.321114417266382,"High","Y"
1,"Tube",13,1.910202383,2.293672044,3,0.317786432794297,"High","Y"
1,"Tube",11,1.90817714,2.295309316,3,0.317969939846092,"High","Y"
1,"Tube",6,1.94955002,2.303233883,3,0.318140453728383,"High","Y"
1,"Tube",8,1.714949928,2.305078684,3,0.325329070183356,"High","Y"
1,"Tube",8,1.843705293,2.306866953,3,0.320497576996558,"High","Y"
1,"Tube",7,1.963782689,2.308453468,3,0.318509679396643,"High","Y"
1,"Tube",9,1.687197168,2.3094698,3,0.327038966555987,"High","Y"
1,"Tube",11,1.862807893,2.320217922,3,0.321167844278961,"High","Y"
1,"Tube",4,1.887341461,2.330684406,3,0.321557231274391,"High","Y"
1,"Tube",9,1.920387173,2.337166697,3,0.321585521124442,"High","Y"
1,"Tube",8,1.770386266,2.345314735,3,0.326249451225132,"High","Y"
1,"Tube",6,1.960259797,2.345478595,3,0.32194089493602,"High","Y"
1,"Tube",13,1.865481517,2.367014265,3,0.325282478687851,"High","Y"
1,"Tube",12,6.419486908,2.367565161,7,0.843720578801916,"High","Y"
1,"Tube",10,1.964116613,2.367809419,3,0.323973962131195,"High","Y"
1,"Tube",5,1.768617021,2.374113475,3,0.328750753832318,"High","Y"
1,"Tube",11,1.868145451,2.385158216,3,0.326852558550103,"High","Y"
1,"Tube",5,1.875,2.401595745,3,0.32819356074082,"High","Y"
1,"Tube",4,1.841462079,2.405386628,3,0.329268548375721,"High","Y"
1,"Tube",13,6.368872771,2.406368628,7,0.838709106045779,"High","Y"
1,"Tube",6,1.8257932,2.416877104,3,0.330684076700831,"High","Y"
1,"Tube",5,1.815602837,2.423758865,3,0.331564079406165,"High","Y"
1,"Tube",4,1.967335693,2.435972295,3,0.330239088361446,"High","Y"
1,"Tube",5,1.899822695,2.445921986,3,0.331794490051864,"High","Y"
1,"Tube",13,6.420748976,2.446617408,7,0.837102721605043,"High","Y"
1,"Tube",6,1.864467987,2.451981966,3,0.332943859882234,"High","Y"
1,"Tube",6,1.794258263,2.454955714,3,0.334905403585742,"High","Y"
1,"Tube",12,1.916025959,2.459490741,3,0.332820855012238,"High","Y"
1,"Tube",11,1.800536378,2.460773628,3,0.335239128174025,"High","Y"
1,"Tube",11,1.902839581,2.462552814,3,0.333268863783874,"High","Y"
1,"Tube",13,1.911991218,2.46271692,3,0.333164792395073,"High","Y"
1,"Tube",6,1.851973248,2.496009857,3,0.337159194972413,"High","Y"
1,"Tube",11,1.750719166,2.498136537,3,0.339995881403375,"High","Y"
1,"Tube",8,1.900035765,2.515200286,3,0.338113875342983,"High","Y"
1,"Tube",6,1.811513498,2.515644447,3,0.33981235227884,"High","Y"
1,"Tube",13,1.916463304,2.522642881,3,0.338600500876632,"High","Y"
1,"Tube",5,1.978723404,2.530141844,3,0.33888576909041,"High","Y"
1,"Tube",7,1.958416185,2.534741052,3,0.33938416579528,"High","Y"
1,"Tube",6,1.940625207,2.536469607,3,0.33965292523762,"High","Y"
1,"Tube",4,1.884987496,2.5400832,3,0.340591336954868,"High","Y"
1,"Tube",11,1.758725503,2.540837004,3,0.343461373476826,"High","Y"
1,"Tube",9,1.972207175,2.544446702,3,0.340223057096302,"High","Y"
1,"Tube",5,1.931737589,2.568262411,3,0.342645292698214,"High","Y"
1,"Tube",4,1.966748084,2.569493649,3,0.342551581553138,"High","Y"
1,"Tube",13,1.913780052,2.580780007,3,0.343959275595817,"High","Y"
1,"Tube",8,1.901824034,2.581366237,3,0.344143496977949,"High","Y"
1,"Tube",6,1.951931161,2.588827918,3,0.344401416717378,"High","Y"
1,"Tube",5,1.949468085,2.600177305,3,0.345460548185065,"High","Y"
1,"Tube",6,1.943006347,2.615007967,3,0.346864941238974,"High","Y"
1,"Tube",5,1.977836879,2.630319149,3,0.348129923585508,"High","Y"
1,"Tube",8,1.899141631,2.630543634,3,0.348677540216292,"High","Y"
1,"Tube",9,1.88554269,2.640939118,3,0.349791037916643,"High","Y"
1,"Tube",6,1.831148088,2.641782407,3,0.350717591349171,"High","Y"
1,"Tube",4,1.965571101,2.645958697,3,0.349607032886361,"High","Y"
1,"Tube",7,1.971832445,2.647437636,3,0.349723852198646,"High","Y"
1,"Tube",11,1.738264863,2.648477766,3,0.353488171538118,"High","Y"
1,"Tube",9,1.966846485,2.651660497,3,0.350128523979753,"High","Y"
1,"Tube",6,1.94479131,2.677481662,3,0.352607620326418,"High","Y"
1,"Tube",5,1.82712766,2.680851064,3,0.354324681621802,"High","Y"
1,"Tube",10,1.914137656,2.685532783,3,0.353571354237808,"High","Y"
1,"Tube",11,1.803205157,2.686730268,3,0.355317962748319,"High","Y"
1,"Tube",4,1.784995147,2.687131914,3,0.355743874186563,"High","Y"
1,"Tube",8,1.910765379,2.688662375,3,0.353889343581113,"High","Y"
