"","Colony","Nest","Day","ScaledX","ScaledY","Bin","Density"
"1",1,"Tube",4,3.119614021,1.519561635,2,"High"
"2",1,"Tube",8,2.952432046,1.548640916,2,"High"
"3",1,"Tube",7,3.157531088,1.582485332,2,"High"
"4",1,"Tube",8,2.944086195,1.587982833,2,"High"
"5",1,"Tube",7,3.209407293,1.591429505,2,"High"
"6",1,"Tube",5,3.607565603,1.599881206,1,"High"
"7",1,"Tube",4,3.312542116,1.606614233,2,"High"
"8",1,"Tube",8,1.708690987,1.630901288,3,"High"
"9",1,"Tube",7,3.075842165,1.634957219,2,"High"
"10",1,"Tube",9,2.621744086,1.645637715,2,"High"
"11",1,"Tube",6,2.289883508,1.645773208,2,"High"
"12",1,"Tube",5,2.281324468,1.668439716,2,"High"
"13",1,"Tube",7,3.054971831,1.668945077,2,"High"
"14",1,"Tube",4,1.881458312,1.683079282,3,"High"
"15",1,"Tube",8,2.942895207,1.684549356,2,"High"
"16",1,"Tube",13,2.629313916,1.697990103,2,"High"
"17",1,"Tube",8,1.848175966,1.709585122,3,"High"
"18",1,"Tube",13,2.221459614,1.71230078,2,"High"
"19",1,"Tube",4,1.965571101,1.72072508,3,"High"
"20",1,"Tube",8,1.692596567,1.722997139,3,"High"
"21",1,"Tube",5,1.804964539,1.728723404,3,"High"
"22",1,"Tube",5,1.915780142,1.745567376,3,"High"
"23",1,"Tube",8,1.749821173,1.756080114,3,"High"
"24",1,"Tube",5,1.770390071,1.756205674,3,"High"
"25",1,"Tube",4,1.899104229,1.759546095,3,"High"
"26",1,"Tube",4,1.949102168,1.759546095,3,"High"
"27",1,"Tube",4,1.802641063,1.76483987,3,"High"
"28",1,"Tube",6,1.76064206,1.768043155,3,"High"
"29",1,"Tube",6,3.198429533,1.776967968,2,"High"
"30",1,"Tube",5,1.796099291,1.788120567,3,"High"
"31",1,"Tube",6,1.78027665,1.790355189,3,"High"
"32",1,"Tube",4,1.779111999,1.796602519,3,"High"
"33",1,"Tube",4,1.813816222,1.797190128,3,"High"
"34",1,"Tube",5,1.770390071,1.805851064,3,"High"
"35",1,"Tube",5,1.975177305,1.820921986,3,"High"
"36",1,"Tube",6,1.810621017,1.823376999,3,"High"
"37",1,"Tube",4,1.761466082,1.827775795,3,"High"
"38",1,"Tube",8,1.621065808,1.836552217,3,"High"
"39",1,"Tube",4,1.787347348,1.836598753,3,"High"
"40",1,"Tube",6,1.795448834,1.843011589,3,"High"
"41",1,"Tube",11,1.863697486,1.846064815,3,"High"
"42",1,"Tube",11,1.730258525,1.853181559,3,"High"
"43",1,"Tube",4,1.840285096,1.904830217,3,"High"
"44",1,"Tube",8,1.628218884,1.90897711,3,"High"
"45",1,"Tube",9,1.865886827,1.924393584,3,"High"
"46",1,"Tube",5,1.792553191,1.935283688,3,"High"
"47",1,"Tube",5,1.82358156,1.942375887,3,"High"
"48",1,"Tube",9,1.948977519,1.943155998,3,"High"
"49",1,"Tube",6,1.770459355,1.951001834,3,"High"
"50",1,"Tube",6,1.787416501,1.953679278,3,"High"
"51",1,"Tube",9,1.892690276,2.001230137,3,"High"
"52",1,"Tube",11,1.752498352,2.080917386,3,"High"
"53",1,"Tube",11,1.854801555,2.092482096,3,"High"
"54",1,"Tube",9,2.009732003,2.101296346,3,"High"
"55",1,"Tube",13,1.885158698,2.105844405,3,"High"
"56",1,"Tube",10,1.867728626,2.117022156,3,"High"
"57",1,"Tube",10,1.979288796,2.117914637,3,"High"
"58",1,"Tube",7,1.760749955,2.132253254,3,"High"
"59",1,"Tube",5,1.781028369,2.137411348,3,"High"
"60",1,"Tube",6,1.740114989,2.141992845,3,"High"
"61",1,"Tube",9,1.887329586,2.14686221,3,"High"
"62",1,"Tube",9,1.945403726,2.152222899,3,"High"
"63",1,"Tube",6,1.782954095,2.155380066,3,"High"
"64",1,"Tube",12,1.838380081,2.172111742,3,"High"
"65",1,"Tube",13,1.801977886,2.17471454,3,"High"
"66",1,"Tube",6,1.74725484,2.188401876,3,"High"
"67",1,"Tube",9,1.882862345,2.201362556,3,"High"
"68",1,"Tube",8,1.925965665,2.209406295,3,"High"
"69",1,"Tube",7,1.989720791,2.220800569,3,"High"
"70",1,"Tube",9,1.993649934,2.223698763,3,"High"
"71",1,"Tube",6,1.97037518,2.22410113,3,"High"
"72",1,"Tube",9,1.787263377,2.229059453,3,"High"
"73",1,"Tube",6,1.943006347,2.236595869,3,"High"
"74",1,"Tube",5,1.791666667,2.237588652,3,"High"
"75",1,"Tube",5,1.835992908,2.237588652,3,"High"
"76",1,"Tube",8,1.731044349,2.244277539,3,"High"
"77",1,"Tube",10,1.924847433,2.244646991,3,"High"
"78",1,"Tube",13,6.348301172,2.245373509,7,"High"
"79",1,"Tube",7,1.7992099,2.248527507,3,"High"
"80",1,"Tube",4,1.79911188,2.253631749,3,"High"
"81",1,"Tube",6,1.78027665,2.256230459,3,"High"
"82",1,"Tube",9,1.818534068,2.263010488,3,"High"
"83",1,"Tube",10,1.85077148,2.271421432,3,"High"
"84",1,"Tube",6,1.736545064,2.279434975,3,"High"
"85",1,"Tube",5,1.772163121,2.284574468,3,"High"
"86",1,"Tube",13,1.910202383,2.293672044,3,"High"
"87",1,"Tube",11,1.90817714,2.295309316,3,"High"
"88",1,"Tube",6,1.94955002,2.303233883,3,"High"
