"","Colony","Nest","Day","ScaledX","ScaledY","Bin","Density"
"1",1,"Tube",4,3.033165823,3.136587683,4,"High"
"2",1,"Tube",4,4.803849927,3.11697642,6,"High"
"3",1,"Tube",4,6.317758089,3.156204295,6,"High"
"4",1,"Tube",5,1.911347518,1.886524823,3,"High"
"5",1,"Tube",5,2.773640071,3.129432624,4,"High"
"6",1,"Tube",5,6.238179078,3.144207447,6,"High"
"7",1,"Tube",6,1.836222944,1.737012987,3,"High"
"8",1,"Tube",6,3.165584416,3.102451299,5,"High"
"9",1,"Tube",6,3.203463203,3.241341991,5,"High"
"10",1,"Tube",7,1.719088937,1.971258134,3,"High"
"11",1,"Tube",7,2.765726681,3.120932755,4,"High"
"12",1,"Tube",7,6.523861171,3.015184382,6,"High"
"13",1,"Tube",8,1.770386266,1.929542203,3,"High"
"14",1,"Tube",8,1.824034335,2.630543634,3,"High"
"15",1,"Tube",8,4.707916667,3.22663269,6,"High"
"16",1,"Tube",9,1.827372698,1.746115926,3,"High"
"17",1,"Tube",9,1.802096425,2.063921993,3,"High"
"18",1,"Tube",9,5.400866739,3.286386782,6,"High"
"19",1,"Tube",10,1.931818182,2.408008658,3,"High"
"20",1,"Tube",10,2.015692641,3.135822511,4,"High"
"21",1,"Tube",10,5.681818182,3.295454545,6,"High"
"22",1,"Tube",11,2.25188781,3.133764833,4,"High"
"23",1,"Tube",11,2.745415318,3.19579288,4,"High"
"24",1,"Tube",11,3.70819849,3.0798274,5,"High"
"25",1,"Tube",12,2.46482684,3.043831169,4,"High"
"26",1,"Tube",12,3.80952381,3.130411255,5,"High"
"27",1,"Tube",12,5.12987013,3.100649351,6,"High"
"28",1,"Tube",13,1.822125813,2.265005423,3,"High"
"29",1,"Tube",13,6.301518438,3.223063991,6,"High"
"30",1,"Tube",13,6.279826464,3.002532538,6,"High"
"31",1,"Circle",3,4.414382659,2.020013721,5,"High"
"32",1,"Circle",3,4.121571209,2.275758812,6,"High"
