"","Colony","Nest","Day","ScaledX","ScaledY","Bin","AntID","Density"
"1",1,"Tube",4,1.922256804,2.394794082,3,"G,Db,Y,Y","High"
"2",1,"Tube",4,3.061700049,1.590582528,2,"G,G,G,P","High"
"3",1,"Tube",4,2.15049852,3.302422146,4,"G,G,Lb,O","High"
"4",1,"Tube",4,6.317758089,2.382308352,7,"G,Lb,W,Y","High"
"5",1,"Tube",4,4.265337281,3.175820907,5,"G,O,X,X","High"
"6",1,"Tube",4,1.947217565,1.515689545,3,"G,O,Y,G","High"
"7",1,"Tube",4,1.756422341,2.621254415,3,"G,P,G,G","High"
"8",1,"Tube",4,4.548860717,3.218616898,5,"G,W,Lb,Lb","High"
"9",1,"Tube",4,1.777820336,2.902996468,4,"G,W,W,P","High"
"10",1,"Tube",4,2.113052028,1.422966682,2,"G,Y,Lb,Db","High"
"11",1,"Tube",4,4.689729069,3.272111886,6,"G,Y,O,G","High"
"12",1,"Tube",4,5.900497182,1.825960476,8,"W,B,Db,Lb","High"
"13",1,"Tube",4,3.168690025,3.04386482,5,"W,B,P,Y","High"
"14",1,"Tube",4,4.354492028,3.270325153,5,"W,B,W,B","High"
"15",1,"Tube",4,5.501071505,1.800999714,8,"W,Db,Db,W","High"
"16",1,"Tube",4,1.756422341,1.690441623,3,"W,Db,X,X","High"
"17",1,"Tube",4,3.202568401,1.652995131,2,"W,G,B,Lb","High"
"18",1,"Tube",4,5.797075322,1.752854225,8,"W,Lb,Db,B","High"
"19",1,"Tube",4,6.023535655,1.656563247,7,"W,Lb,Y,G","High"
"20",1,"Tube",4,5.183664342,3.305990262,6,"W,O,O,W","High"
"21",1,"Tube",4,3.333631122,1.575427398,2,"W,P,Db,G","High"
"22",1,"Tube",4,4.725394178,3.072393697,6,"W,P,O,Y","High"
"23",1,"Tube",4,3.360378616,1.717189117,2,"W,P,P,W","High"
"24",1,"Tube",4,1.845577088,2.280667874,3,"W,P,W,P","High"
"25",1,"Tube",4,5.347717422,3.147286681,6,"W,W,Db,Db","High"
"26",1,"Tube",4,3.445077231,3.108058806,5,"W,W,W,W","High"
"27",1,"Tube",4,1.936518568,2.633734795,3,"W,X,W,X","High"
"28",1,"Tube",4,5.711483341,1.62802902,8,"W,X,X,Lb","High"
"29",1,"Tube",4,3.125894035,3.245364392,5,"W,X,X,X","High"
"30",1,"Tube",4,6.644077516,3.141937182,6,"W,X,X,X","High"
