"","Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","Corner"
"1",1,"Tube",4,3.033165823,3.136587683,4,0.483925455996464,"High","Y"
"2",1,"Tube",4,4.803849927,3.11697642,6,0.646337885233344,"High","Y"
"3",1,"Tube",4,6.317758089,3.156204295,6,0.78605087386449,"High","Y"
"4",1,"Tube",5,1.911347518,1.886524823,3,0.284103833367372,"High","Y"
"5",1,"Tube",5,2.773640071,3.129432624,4,0.4602793420118,"High","Y"
"6",1,"Tube",5,6.238179078,3.144207447,6,0.778664234722007,"High","Y"
"7",1,"Tube",6,1.836222944,1.737012987,3,0.284000518449407,"High","Y"
"8",1,"Tube",6,3.165584416,3.102451299,5,0.495561368027724,"High","N"
"9",1,"Tube",6,3.203463203,3.241341991,5,0.501244737367517,"High","N"
"10",1,"Tube",7,1.719088937,1.971258134,3,0.30347088985242,"High","Y"
"11",1,"Tube",7,2.765726681,3.120932755,4,0.459402222418656,"High","Y"
"12",1,"Tube",7,6.523861171,3.015184382,6,0.804676202181897,"High","Y"
"13",1,"Tube",8,1.770386266,1.929542203,3,0.29759244488391,"High","Y"
"14",1,"Tube",8,1.824034335,2.630543634,3,0.349838844323693,"High","Y"
"15",1,"Tube",8,4.707916667,3.22663269,6,0.638299695140147,"High","Y"
"16",1,"Tube",9,1.827372698,1.746115926,3,0.284981937186355,"High","Y"
"17",1,"Tube",9,1.802096425,2.063921993,3,0.302519181121149,"High","Y"
"18",1,"Tube",9,5.400866739,3.286386782,6,0.702481597083601,"High","Y"
"19",1,"Tube",10,1.931818182,2.408008658,3,0.327928869622703,"High","Y"
"20",1,"Tube",10,2.015692641,3.135822511,4,0.40118969766879,"High","Y"
"21",1,"Tube",10,5.681818182,3.295454545,6,0.728373434157302,"High","Y"
"22",1,"Tube",11,2.25188781,3.133764833,4,0.415133364517192,"High","Y"
"23",1,"Tube",11,2.745415318,3.19579288,4,0.459311133225441,"High","Y"
"24",1,"Tube",11,3.70819849,3.0798274,5,0.545212602125981,"High","N"
"25",1,"Tube",12,2.46482684,3.043831169,4,0.430785234222984,"High","Y"
"26",1,"Tube",12,3.80952381,3.130411255,5,0.554921063703102,"High","N"
"27",1,"Tube",12,5.12987013,3.100649351,6,0.676306850246845,"High","Y"
"28",1,"Tube",13,1.822125813,2.265005423,3,0.317556145763975,"High","Y"
"29",1,"Tube",13,6.301518438,3.223063991,6,0.784888310371883,"High","Y"
"30",1,"Tube",13,6.279826464,3.002532538,6,0.782142784175403,"High","Y"
"31",2,"Tube",4,4.44092827,1.763361463,6,0.732969824456798,"High","Y"
"32",2,"Tube",5,4.690375088,1.875442321,6,0.776570079143131,"High","Y"
"33",2,"Tube",6,4.171952079,1.755343552,6,0.686725244300676,"High","Y"
"34",2,"Tube",7,4.865248227,1.877659574,6,0.806592899581025,"High","Y"
"35",2,"Tube",8,3.453389831,1.86970339,5,0.564854403152207,"High","N"
"36",2,"Tube",9,4.831917905,1.811748054,6,0.800346528128346,"High","Y"
"37",2,"Tube",10,4.415546709,1.726233192,6,0.728588132719812,"High","Y"
"38",2,"Tube",11,4.956077279,1.845322293,6,0.82189271217156,"High","Y"
"39",2,"Tube",12,4.300847458,1.866172316,6,0.709665907228889,"High","Y"
"40",2,"Tube",13,4.783687943,1.781914894,6,0.791927543129398,"High","Y"
"41",3,"Tube",4,2.131824713,3.382422773,4,0.429757374803018,"High","Y"
"42",3,"Tube",6,2.907581759,3.75181686,5,0.501755399038986,"High","N"
"43",3,"Tube",7,2.832853807,3.445281968,4,0.488449180675709,"High","Y"
"44",3,"Tube",8,3.08224163,3.64992722,5,0.512789891981388,"High","N"
"45",3,"Tube",9,2.037235903,3.428502855,4,0.423866028570573,"High","Y"
"46",3,"Tube",10,2.809575234,3.496520878,4,0.487363018248188,"High","Y"
"47",3,"Tube",11,3.10175126,3.37113031,5,0.510096217343313,"High","N"
"48",3,"Tube",12,2.59272877,1.787457906,2,0.198728138222737,"High","N"
"49",3,"Tube",13,3.123188406,3.509057971,5,0.5134294358754,"High","N"
"50",3,"Tube",14,2.537473233,3.563526053,4,0.466980605772182,"High","Y"
"51",4,"Tube",4,2.1945047,1.51904013,3,0.282530571958245,"High","Y"
"52",4,"Tube",4,2.34318016,2.444688184,4,0.362949541822595,"High","Y"
"53",4,"Tube",5,2.313999633,2.438816079,4,0.358713977108749,"High","Y"
"54",4,"Tube",5,3.074114583,2.489224138,4,0.441204173951294,"High","Y"
"55",4,"Tube",6,2.773522976,1.320811451,2,0.217180434419492,"High","N"
"56",4,"Tube",6,2.186813187,2.245421245,3,0.338962508704928,"High","Y"
"57",4,"Tube",7,2.465353756,1.300145879,2,0.249449618016446,"High","N"
"58",4,"Tube",7,2.35052106,1.64609114,3,0.275111964657196,"High","Y"
"59",4,"Tube",8,2.353225983,2.330180131,3,0.347211918050053,"High","Y"
"60",4,"Tube",8,2.683150183,2.545177656,4,0.400812704555211,"High","Y"
"61",4,"Tube",9,2.289251812,2.030797101,3,0.314929585215237,"High","Y"
"62",4,"Tube",9,3.425524223,2.5,5,0.478895982699642,"High","N"
"63",4,"Tube",10,2.444204464,1.340293377,2,0.252309164008217,"High","N"
"64",4,"Tube",10,6.161560904,2.530999271,6,0.772301103643365,"High","Y"
"65",4,"Tube",11,2.27217288,1.792763158,3,0.289581980772346,"High","Y"
"66",4,"Tube",11,5.114022926,2.621300946,6,0.660465650503899,"High","Y"
"67",4,"Tube",12,4.104803493,2.567321689,5,0.552073394566397,"High","N"
"68",4,"Tube",13,2.812947067,1.536123033,2,0.220932527193351,"High","N"
"69",4,"Tube",13,2.265512266,2.211399711,3,0.334391393712525,"High","Y"
"70",5,"Tube",4,2.996313191,1.043266129,3,0.301284058211947,"High","Y"
"71",5,"Tube",4,2.850574713,1.199233716,3,0.31393176015058,"High","Y"
"72",5,"Tube",4,2.996313191,1.466973886,3,0.366823719676608,"High","Y"
"73",5,"Tube",4,2.892720307,1.657088123,4,0.413506602114878,"High","Y"
"74",5,"Tube",5,2.786118168,1.174620862,3,0.31378657479447,"High","Y"
"75",5,"Tube",5,2.893518519,1.377314815,3,0.347167534678478,"High","Y"
"76",5,"Tube",5,3.006799461,1.685271363,4,0.426599957895676,"High","Y"
"77",5,"Tube",5,2.962962963,1.697530864,4,0.42438961135294,"High","Y"
"78",5,"Tube",6,2.813373379,1.168319985,3,0.310339076428089,"High","Y"
"79",5,"Tube",6,2.843884439,1.618358124,4,0.392928481667476,"High","Y"
"80",5,"Tube",7,2.790519878,1.121941896,3,0.305196866479257,"High","Y"
"81",5,"Tube",7,2.832820661,1.28968318,3,0.331358299199749,"High","Y"
"82",5,"Tube",7,2.912844037,1.622706422,4,0.407786200840083,"High","Y"
"83",5,"Tube",7,2.994110983,1.642985791,4,0.418873987154806,"High","Y"
"84",5,"Tube",8,2.866362946,0.85440613,3,0.274394535623069,"High","Y"
"85",5,"Tube",8,2.833607908,1.146348847,3,0.305046291531536,"High","Y"
"86",5,"Tube",8,2.82080486,1.214559387,3,0.318050530945203,"High","Y"
"87",5,"Tube",8,2.789676689,1.53898888,4,0.379204431721894,"High","Y"
"88",5,"Tube",9,2.896578538,0.925349922,3,0.270819333390061,"High","Y"
"89",5,"Tube",9,2.799377916,1.230559876,3,0.322230339068762,"High","Y"
"90",5,"Tube",9,2.894770588,1.515033333,4,0.389306796468338,"High","Y"
"91",5,"Tube",9,2.884313725,1.648366667,4,0.411774886673889,"High","Y"
"92",5,"Tube",10,2.79729313,0.964090554,3,0.290735089964236,"High","Y"
"93",5,"Tube",10,2.823315769,1.31147541,3,0.335739338737494,"High","Y"
"94",5,"Tube",10,2.869937695,1.437564252,3,0.358549246301871,"High","Y"
