"","Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","Corner"
"1",11,"Tube",2,1.779430258,1.735097294,2,0.231818919421166,"Low","N"
"2",11,"Tube",2,2.106125753,3.85690849,4,0.43442393247332,"Low","Y"
"3",11,"Tube",2,2.546038392,3.869866475,4,0.465694547267361,"Low","Y"
"4",11,"Tube",2,6.579593292,2.571954362,7,0.820730192704564,"Low","Y"
"5",11,"Tube",2,5.520392099,1.713271489,8,0.909841954397529,"Low","N"
"6",11,"Tube",3,2.135278915,3.7372611,4,0.434474065837611,"Low","Y"
"7",11,"Tube",3,2.529665988,4.080692576,4,0.469022278838663,"Low","Y"
"8",11,"Tube",3,6.102190967,3.961329197,6,0.723941906726567,"Low","Y"
"9",11,"Tube",3,6.654334545,2.870306035,7,0.80324812411617,"Low","Y"
"10",11,"Tube",3,6.352784957,2.722322669,7,0.806028821445616,"Low","Y"
"11",11,"Tube",4,2.314642175,4.041557514,4,0.453461838827794,"Low","Y"
"12",11,"Tube",4,2.280342047,3.6167548,4,0.444364480733007,"Low","Y"
"13",11,"Tube",4,3.436014718,4.060026509,5,0.532050012659497,"Low","N"
"14",11,"Tube",4,6.199206306,4.063984292,6,0.731608600766958,"Low","Y"
"15",11,"Tube",4,6.618072346,2.356200876,7,0.836537788636735,"Low","Y"
"16",11,"Tube",5,1.060561491,2.591203664,3,0.309955780428802,"Low","Y"
"17",11,"Tube",5,4.116077272,4.098053483,5,0.581262908227242,"Low","N"
"18",11,"Tube",5,4.375630227,4.07642407,5,0.599685297303033,"Low","N"
"19",11,"Tube",5,6.779378258,3.408795471,7,0.784469170301073,"Low","Y"
"20",11,"Tube",5,6.538571516,1.686373946,7,0.882755797676251,"Low","Y"
"21",11,"Tube",7,1.520217729,1.718506998,2,0.250634302623263,"Low","N"
"22",11,"Tube",7,2.134525661,3.824519829,4,0.435741052150823,"Low","Y"
"23",11,"Tube",7,2.354846423,4.070762053,4,0.45700949572634,"Low","Y"
"24",11,"Tube",7,5.772420295,4.039657854,6,0.700461257379905,"Low","Y"
"25",11,"Tube",7,6.443753888,2.22524689,7,0.842863550135862,"Low","Y"
"26",11,"Tube",8,1.607279693,1.810344828,2,0.244765555056281,"Low","N"
"27",11,"Tube",8,2.007024904,4.021710728,4,0.4329320217232,"Low","Y"
"28",11,"Tube",8,2.346743295,4.026819923,4,0.455186890352761,"Low","Y"
"29",11,"Tube",8,5.88697318,4.007662835,6,0.708567186439101,"Low","Y"
"30",11,"Tube",8,6.371009579,2.617496169,7,0.813785155789022,"Low","Y"
"31",11,"Tube",9,1.665396341,1.783536585,2,0.240367389417492,"Low","N"
"32",11,"Tube",9,1.359247332,4.098704268,4,0.412375483200254,"Low","Y"
"33",11,"Tube",9,2.18622904,4.020579268,4,0.444329619089757,"Low","Y"
"34",11,"Tube",9,5.866996951,4.04535061,6,0.707365311812523,"Low","Y"
"35",11,"Tube",9,6.444359756,2.425685976,7,0.828480553416823,"Low","Y"
"36",11,"Tube",11,1.643513465,1.971704942,2,0.243868089016563,"Low","N"
"37",11,"Tube",11,2.102346049,4.095717448,4,0.44169234639525,"Low","Y"
"38",11,"Tube",11,2.427352463,4.141600706,4,0.463999976841979,"Low","Y"
"39",11,"Tube",11,6.47463822,2.485979797,7,0.824632999834204,"Low","Y"
"40",11,"Tube",12,1.462800941,2.129886776,2,0.25930867570463,"Low","N"
"41",11,"Tube",12,1.321564479,3.065572896,3,0.337194488608701,"Low","Y"
"42",11,"Tube",12,4.597731349,4.069356755,5,0.615634463280779,"Low","N"
"43",11,"Tube",12,5.774276264,4.058007447,6,0.700726497979405,"Low","Y"
"44",11,"Tube",12,6.534679891,2.138082867,7,0.850344819349338,"Low","Y"
"45",11,"Tube",13,1.883664371,1.949837163,2,0.22639720454731,"Low","N"
"46",11,"Tube",13,1.175951452,3.228510433,3,0.350299382668997,"Low","Y"
"47",11,"Tube",13,1.709729429,4.088102585,4,0.420066761573146,"Low","Y"
"48",11,"Tube",13,6.302621464,3.040080282,7,0.782573804039438,"Low","Y"
