"Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","WorkerType","Corner"
1,"Tube",4,1.922256804,2.394794082,3,0.326826235005616,"High","Worker","Y"
1,"Tube",4,3.061700049,1.590582528,2,0.172048675589064,"High","Worker","N"
1,"Tube",4,2.15049852,3.302422146,4,0.420238211377129,"High","Worker","Y"
1,"Tube",4,6.317758089,2.382308352,7,0.839495306140579,"High","Worker","Y"
1,"Tube",4,4.265337281,3.175820907,5,0.597193741308876,"High","Worker","N"
1,"Tube",4,1.947217565,1.515689545,3,0.270622433980742,"High","Worker","Y"
1,"Tube",4,1.756422341,2.621254415,3,0.350590096615737,"High","Worker","Y"
1,"Tube",4,4.548860717,3.218616898,5,0.623621017528277,"High","Worker","N"
1,"Tube",4,1.777820336,2.902996468,4,0.374749051377885,"High","Worker","Y"
1,"Tube",4,2.113052028,1.422966682,2,0.254734336668638,"High","Worker","N"
1,"Tube",4,4.689729069,3.272111886,6,0.63708136433664,"High","Worker","Y"
1,"Tube",4,5.900497182,1.825960476,8,0.9157881487703,"High","Worker","N"
1,"Tube",4,3.168690025,3.04386482,5,0.495314626161613,"High","Worker","N"
1,"Tube",4,4.354492028,3.270325153,5,0.606359481604995,"High","Worker","N"
1,"Tube",4,5.501071505,1.800999714,8,0.952703138523118,"High","Worker","N"
1,"Tube",4,1.756422341,1.690441623,3,0.290352486547434,"High","Worker","Y"
1,"Tube",4,3.202568401,1.652995131,2,0.164411471650037,"High","Worker","N"
1,"Tube",4,5.797075322,1.752854225,8,0.926462271687716,"High","Worker","N"
1,"Tube",4,6.023535655,1.656563247,7,0.905738540592135,"High","Worker","Y"
1,"Tube",4,5.183664342,3.305990262,6,0.6827273719963,"High","Worker","Y"
1,"Tube",4,3.333631122,1.575427398,2,0.150751270685111,"High","Worker","N"
1,"Tube",4,4.725394178,3.072393697,6,0.638900669866287,"High","Worker","Y"
1,"Tube",4,3.360378616,1.717189117,2,0.160284167684381,"High","Worker","N"
1,"Tube",4,1.845577088,2.280667874,3,0.318149561721497,"High","Worker","Y"
1,"Tube",4,5.347717422,3.147286681,6,0.696606514091746,"High","Worker","Y"
1,"Tube",4,3.445077231,3.108058806,5,0.521249085331413,"High","Worker","N"
1,"Tube",4,1.936518568,2.633734795,3,0.348631569535242,"High","Worker","Y"
1,"Tube",4,5.711483341,1.62802902,8,0.937978489349941,"High","Worker","N"
1,"Tube",4,3.125894035,3.245364392,5,0.494372166306163,"High","Worker","N"
