"Colony","Nest","AntID","SFZ","Occur","MeanScaledDist","Density","SFZ_Area","Occur_Area","Freq","Number.ants"
1,"Tube","G,G,G,P",1,6,0.519277176807978,"High",0.216817,1.300902,7,157
1,"Tube","G,Lb,W,Y",0,7,0.70081089841524,"High",0,1.517719,7,157
1,"Tube","G,P,G,G",1,6,0.52872371241694,"High",0.216817,1.300902,8,157
1,"Tube","G,W,Lb,Lb",2,4,0.53525670291772,"High",0.433634,0.867268,8,157
1,"Tube","G,W,W,P",3,4,0.415409371304725,"High",0.650451,0.867268,10,157
1,"Tube","W,Lb,Db,B",1,5,0.688008871736331,"High",0.216817,1.084085,8,157
1,"Tube","W,O,O,W",1,6,0.257640497587354,"High",0.216817,1.300902,7,157
1,"Tube","W,P,O,Y",2,6,0.554881172398078,"High",0.433634,1.300902,8,157
1,"Tube","W,Y,O,Db",1,6,0.355394461489598,"High",0.216817,1.300902,8,157
1,"Tube","W,Y,Y,W",2,7,0.571065382354975,"High",0.433634,1.517719,9,157
1,"Tube","Y,B,O,Y",2,5,0.621311880914323,"High",0.433634,1.084085,7,157
1,"Tube","Y,Db,P,O",0,7,0.541642707208915,"High",0,1.517719,7,157
1,"Tube","Y,Lb,G,W",1,6,0.535019088260204,"High",0.216817,1.300902,7,157
1,"Tube","Y,O,G,G",3,5,0.404337994215861,"High",0.650451,1.084085,9,157
1,"Tube","Y,O,P,P",0,7,0.6213461945522,"High",0,1.517719,7,157
1,"Tube","Y,P,P,B",1,3,0.638393298451125,"High",0.216817,0.650451,8,157
1,"Tube","Y,P,W,O",2,5,0.680386021342479,"High",0.433634,1.084085,8,157
1,"Tube","Y,Y,Lb,O",0,8,0.450572066423777,"High",0,1.734536,8,157
1,"Tube","Y,W,Db,Lb",2,7,0.577823590055057,"High",0.433634,1.517719,9,157
2,"Tube","W,Db,Lb,Y",2,5,0.160301245920971,"High",0.129814,0.324535,8,47
2,"Tube","W,P,W,P",1,6,0.78387404933739,"High",0.064907,0.389442,7,47
2,"Tube","W,Y,G,B",1,6,0.335019610521806,"High",0.064907,0.389442,7,47
2,"Tube","W,Y,Y,W",2,6,0.793890231422205,"High",0.129814,0.389442,9,47
2,"Tube","W,B,O,G",2,5,0.563500306751904,"High",0.129814,0.324535,8,47
2,"Tube","W,P,Lb,Lb",1,6,0.614532882274559,"High",0.064907,0.389442,7,47
3,"Tube","G,W,Db,G",1,4,0.244127925910054,"High",0.2762,1.1048,7,200
3,"Tube","Lb,Y,W,P",2,4,0.831579011504134,"High",0.5524,1.1048,7,200
4,"Tube","Db,Db,O,Lb",2,7,0.52920896402698,"High",0.273438,0.957033,9,99
4,"Tube","Db,G,O,Y",2,5,0.429239165484432,"High",0.273438,0.683595,7,99
4,"Tube","Db,Lb,G,O",3,4,0.329725985269053,"High",0.410157,0.546876,8,99
4,"Tube","Db,O,Db,O",1,4,0.513703262562483,"High",0.136719,0.546876,7,99
4,"Tube","Db,O,O,Db",3,6,0.315646048814804,"High",0.410157,0.820314,9,99
4,"Tube","Db,W,Y,Lb",1,7,0.481941703849397,"High",0.136719,0.957033,9,99
4,"Tube","O,O,Y,B",2,6,0.265860674325433,"High",0.273438,0.820314,10,99
4,"Tube","O,W,W,Lb",2,6,0.534153811682273,"High",0.273438,0.820314,8,99
4,"Tube","O,Y,G,G",2,4,0.41174064666054,"High",0.273438,0.546876,8,99
