"Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","WorkerType","Corner"
11,"Tube",2,2.338017005,1.878324665,2,0.192939530870054,"Low","Obsv","N"
11,"Tube",2,3.078707123,1.711225384,2,0.13761079484167,"Low","Obsv","N"
11,"Tube",2,2.857727751,1.745327821,2,0.153830657385198,"Low","Obsv","N"
11,"Tube",2,1.670986677,1.98062993,2,0.242033565658965,"Low","Obsv","N"
11,"Tube",2,2.710408169,2.084981301,2,0.174439855930849,"Low","Obsv","N"
11,"Tube",2,3.160551335,2.109534564,2,0.156246577332003,"Low","Obsv","N"
11,"Tube",2,3.212385321,1.989495705,2,0.146806713523418,"Low","Obsv","N"
11,"Tube",2,3.144182493,1.829899491,2,0.138458109689276,"Low","Obsv","N"
11,"Tube",2,2.861819962,1.659391398,2,0.152720520019233,"Low","Obsv","N"
11,"Tube",2,2.106807106,1.665529714,2,0.207765728431147,"Low","Obsv","N"
11,"Tube",2,1.355886461,1.904924034,3,0.263770994685704,"Low","Obsv","Y"
11,"Tube",2,0.95757728,3.408130077,3,0.367008750248806,"Low","Obsv","Y"
11,"Tube",2,1.291775843,2.293684041,3,0.282527410129765,"Low","Obsv","Y"
11,"Tube",2,1.250853737,2.711089522,3,0.312239089184202,"Low","Obsv","Y"
11,"Tube",2,0.99713668,1.86127447,3,0.289404111118132,"Low","Obsv","Y"
11,"Tube",2,1.278134459,2.107488459,3,0.271991697415205,"Low","Obsv","Y"
11,"Tube",2,0.984860048,1.992225209,3,0.291451114812661,"Low","Obsv","Y"
11,"Tube",2,1.098077193,3.112126161,3,0.343348888599076,"Low","Obsv","Y"
11,"Tube",2,0.890739205,3.084845439,3,0.347164962621297,"Low","Obsv","Y"
11,"Tube",2,0.898923626,2.117718985,3,0.299192246240269,"Low","Obsv","Y"
11,"Tube",2,0.939845732,2.682444048,3,0.320618349368157,"Low","Obsv","Y"
11,"Tube",2,0.923476889,2.532397008,3,0.313712176745519,"Low","Obsv","Y"
11,"Tube",2,1.312236896,2.878870157,3,0.323665870572504,"Low","Obsv","Y"
11,"Tube",2,2.223435108,3.65229796,4,0.440270819690219,"Low","Obsv","Y"
11,"Tube",2,1.214023842,3.845996611,4,0.394435530900458,"Low","Obsv","Y"
11,"Tube",2,0.960306785,3.697312277,4,0.386846715645177,"Low","Obsv","Y"
11,"Tube",2,2.701663385,4.06478396,4,0.480408258228472,"Low","Obsv","Y"
11,"Tube",2,2.722003448,3.636610471,4,0.476578644873167,"Low","Obsv","Y"
11,"Tube",2,1.261765617,4.023324373,4,0.407096588083404,"Low","Obsv","Y"
11,"Tube",2,2.461464676,3.637975223,4,0.457586629712562,"Low","Obsv","Y"
11,"Tube",2,3.133951966,3.64820575,5,0.506624939016072,"Low","Obsv","N"
11,"Tube",2,3.951712733,3.982402267,5,0.568107445258539,"Low","Obsv","N"
11,"Tube",2,3.520665868,3.70686145,5,0.534939267654744,"Low","Obsv","N"
11,"Tube",2,3.728003856,3.72868521,5,0.550113008447678,"Low","Obsv","N"
11,"Tube",2,6.006683808,3.633883013,6,0.716065241346714,"Low","Obsv","Y"
11,"Tube",2,6.559132239,4.032873546,6,0.757559835200239,"Low","Obsv","Y"
11,"Tube",2,6.094666335,3.983767019,6,0.723517547484221,"Low","Obsv","Y"
11,"Tube",2,6.49774908,3.92238386,6,0.752533168448839,"Low","Obsv","Y"
11,"Tube",2,6.280861918,3.697312277,6,0.736102837491551,"Low","Obsv","Y"
